387 0.004 
417 0.080 
249 0.024 
197 0.035 
225 0.015 
093 0.019 
213 0.008 
376 0.330 
372 0.008 
175 0.008 
364 0.024 
233 0.071 
362 0.359 
415 0.027 
165 0.002 
306 0.014 
423 0.032 
036 0.309 
206 0.111 
400 0.156 
351 0.004 
349 0.589 
039 0.010 
042 0.234 
412 0.053 
013 0.026 
244 0.000 
378 0.006 
056 0.092 
414 0.003 
275 0.047 
355 0.018 
442 0.020 
367 0.457 
236 0.230 
330 0.187 
133 0.070 
238 0.004 
117 0.430 
162 0.001 
413 0.609 
180 0.031 
122 0.035 
015 0.031 
239 0.002 
253 0.023 
111 0.037 
151 0.006 
142 0.197 
132 0.595 
251 0.029 
186 0.390 
289 0.018 
069 0.253 
101 0.493 
321 0.095 
188 0.625 
242 0.019 
106 0.011 
118 0.003 
054 0.137 
449 0.002 
416 0.599 
327 0.227 
271 0.220 
026 0.174 
023 0.005 
009 0.000 
350 0.032 
393 0.037 
209 0.011 
456 0.152 
157 0.001 
264 0.118 
384 0.008 
332 0.001 
382 0.122 
234 0.535 
315 0.003 
314 0.316 
318 0.278 
229 0.086 
353 0.051 
304 0.011 
071 0.442 
322 0.162 
347 0.036 
140 0.087 
145 0.076 
152 0.063 
421 0.462 
102 0.000 
230 0.035 
441 0.186 
002 0.538 
334 0.410 
434 0.310 
170 0.114 
134 0.572 
027 0.264 
374 0.528 
212 0.000 
366 0.492 
346 0.507 
222 0.262 
403 0.024 
299 0.000 
020 0.504 
202 0.402 
375 0.299 
356 0.099 
455 0.173 
135 0.214 
260 0.001 
337 0.015 
368 0.042 
448 0.014 
418 0.001 
086 0.031 
285 0.360 
199 0.353 
241 0.486 
003 0.017 
254 0.132 
240 0.015 
427 0.064 
258 0.119 
311 0.610 
187 0.039 
120 0.005 
176 0.007 
410 0.096 
129 0.001 
460 0.486 
179 0.030 
295 0.031 
094 0.042 
283 0.026 
294 0.025 
385 0.562 
221 0.036 
218 0.012 
137 0.003 
426 0.186 
100 0.009 
286 0.140 
131 0.059 
287 0.323 
338 0.022 
381 0.000 
446 0.010 
342 0.007 
454 0.001 
208 0.008 
074 0.008 
181 0.366 
422 0.034 
453 0.618 
169 0.040 
429 0.022 
451 0.030 
288 0.357 
138 0.504 
399 0.011 
034 0.016 
298 0.000 
383 0.029 
164 0.023 
401 0.047 
394 0.369 
043 0.003 
185 0.004 
168 0.044 
335 0.022 
277 0.023 
280 0.610 
268 0.004 
214 0.022 
344 0.174 
261 0.168 
017 0.177 
049 0.159 
004 0.154 
231 0.179 
088 0.146 
220 0.188 
183 0.069 
148 0.184 
303 0.152 
420 0.099 
092 0.179 
063 0.179 
201 0.088 
352 0.189 
443 0.173 
256 0.138 
255 0.059 
392 0.132 
317 0.007 
059 0.090 
006 0.167 
279 0.002 
369 0.098 
177 0.186 
067 0.162 
057 0.173 
428 0.171 
029 0.183 
248 0.188 
348 0.002 
062 0.081 
291 0.119 
085 0.005 
265 0.102 
373 0.167 
126 0.169 
055 0.176 
305 0.168 
371 0.163 
207 0.166 
272 0.157 
316 0.061 
070 0.038 
235 0.139 
159 0.165 
276 0.480 
024 0.046 
284 0.009 
033 0.006 
266 0.043 
290 0.017 
360 0.172 
115 0.169 
232 0.026 
012 0.090 
107 0.164 
437 0.001 
307 0.089 
325 0.183 
433 0.180 
329 0.082 
058 0.077 
411 0.154 
457 0.181 
089 0.170 
390 0.005 
336 0.085 
077 0.002 
333 0.345 
273 0.176 
125 0.084 
263 0.189 
361 0.181 
293 0.013 
359 0.014 
044 0.083 
450 0.082 
404 0.104 
161 0.147 
146 0.182 
144 0.001 
380 0.083 
160 0.084 
193 0.157 
110 0.003 
095 0.076 
155 0.101 
076 0.267 
109 0.005 
097 0.083 
340 0.135 
047 0.165 
068 0.170 
153 0.020 
108 0.090 
172 0.115 
048 0.094 
245 0.140 
370 0.138 
174 0.029 
216 0.125 
302 0.002 
005 0.170 
166 0.029 
084 0.034 
301 0.081 
419 0.108 
440 0.084 
121 0.319 
143 0.182 
386 0.162 
281 0.086 
398 0.158 
320 0.180 
278 0.007 
405 0.123 
038 0.180 
098 0.179 
262 0.188 
354 0.048 
149 0.162 
139 0.122 
196 0.008 
445 0.106 
430 0.010 
406 0.103 
396 0.150 
435 0.062 
217 0.117 
343 0.190 
031 0.177 
269 0.002 
313 0.390 
021 0.101 
237 0.016 
050 0.166 
114 0.146 
438 0.178 
008 0.170 
459 0.125 
257 0.140 
091 0.186 
247 0.127 
326 0.080 
310 0.152 
025 0.162 
046 0.081 
147 0.054 
163 0.001 
191 0.038 
123 0.096 
035 0.030 
167 0.010 
060 0.169 
016 0.167 
190 0.110 
226 0.188 
080 0.154 
297 0.010 
389 0.166 
424 0.122 
073 0.179 
189 0.070 
246 0.013 
312 0.087 
194 0.039 
365 0.071 
431 0.173 
065 0.179 
388 0.004 
011 0.002 
150 0.022 
274 0.186 
452 0.004 
223 0.111 
345 0.171 
116 0.132 
053 0.173 
082 0.178 
409 0.017 
192 0.188 
066 0.106 
061 0.007 
041 0.183 
022 0.015 
228 0.148 
030 0.176 
436 0.161 
105 0.002 
112 0.002 
096 0.115 
136 0.102 
379 0.218 
007 0.004 
395 0.184 
439 0.172 
051 0.431 
010 0.185 
210 0.137 
358 0.075 
141 0.132 
045 0.163 
282 0.021 
087 0.123 
204 0.170 
296 0.178 
328 0.159 
178 0.180 
402 0.174 
064 0.180 
019 0.174 
128 0.139 
309 0.055 
407 0.083 
215 0.111 
447 0.022 
219 0.162 
156 0.046 
173 0.012 
300 0.169 
154 0.175 
205 0.050 
425 0.166 
458 0.080 
037 0.009 
323 0.002 
028 0.113 
198 0.137 
267 0.109 
203 0.003 
103 0.133 
377 0.165 
075 0.035 
014 0.088 
184 0.181 
158 0.083 
072 0.180 
357 0.076 
292 0.087 
040 0.102 
104 0.177 
001 0.143 
090 0.133 
211 0.087 
083 0.028 
339 0.170 
032 0.044 
127 0.101 
052 0.162 
363 0.094 
331 0.002 
397 0.085 
078 0.170 
391 0.057 
432 0.007 
182 0.015 
130 0.096 
252 0.144 
444 0.078 
124 0.107 
250 0.123 
259 0.119 
099 0.175 
171 0.081 
341 0.078 
324 0.005 
018 0.095 
408 0.157 
119 0.118 
200 0.127 
113 0.012 
308 0.020 
227 0.085 
319 0.182 
195 0.169 
081 0.165 
270 0.173 
224 0.153 
243 0.084 
079 0.159 
